string_radar,prefixo_lex
"FEDERAL:Câmara dos Deputados:PEC","br:camara.deputados:proposta.emenda.constituicao;pec"
"FEDERAL:Câmara dos Deputados:PL","br:camara.deputados:projeto.lei;pl"
"FEDERAL:Câmara dos Deputados:PLP","br:camara.deputados:projeto.lei.complementar;plp"
"FEDERAL:Senado:PDS","br:senado.federal:projeto.decreto.legislativo;pds"
"FEDERAL:Senado:PEC","br:senado.federal:proposta.emenda.constituicao;pec"
"FEDERAL:Senado:PLC","br:senado.federal:projeto.lei;plc"
"FEDERAL:Senado:PLS","br:senado.federal:projeto.lei;pls"
"FEDERAL:Senado:PRS","br:senado.federal:projeto.resolucao;prs"
"FEDERAL:Senado:SCD","br:senado.federal:substitutivo.camara.deputados.projeto.lei.senado;scd"
"MUNICIPAL:Câmara Municipal de São Paulo:PDL","br;sao.paulo;sao.paulo:camara.municipal:projeto.decreto.legislativo;pdl"
"MUNICIPAL:Câmara Municipal de São Paulo:PL","br;sao.paulo;sao.paulo:camara.municipal:projeto.lei;pl"
"MUNICIPAL:Câmara Municipal de São Paulo:PLO","br;sao.paulo;sao.paulo:camara.municipal:projeto.lei.organica;plo"
